Cod_municipio,Uf,Nome,Cod_ibge,Num_habitantes
1100015,RO,Alta Floresta D'Oeste,"1100015   ",NULL
1100023,RO,Ariquemes,"1100023   ",NULL
1100031,RO,Cabixi,"1100031   ",NULL
1100049,RO,Cacoal,"1100049   ",NULL
1100056,RO,Cerejeiras,"1100056   ",NULL
1100064,RO,Colorado do Oeste,"1100064   ",NULL
1100072,RO,Corumbiara,"1100072   ",NULL
1100080,RO,Costa Marques,"1100080   ",NULL
1100098,RO,Espigão D'Oeste,"1100098   ",NULL
1100106,RO,Guajará-Mirim,"1100106   ",NULL
1100114,RO,Jaru,"1100114   ",NULL
1100122,RO,Ji-Paraná,"1100122   ",NULL
1100130,RO,Machadinho D'Oeste,"1100130   ",NULL
1100148,RO,Nova Brasilândia D'Oeste,"1100148   ",NULL
1100155,RO,Ouro Preto do Oeste,"1100155   ",NULL
1100189,RO,Pimenta Bueno,"1100189   ",NULL
1100205,RO,Porto Velho,"1100205   ",NULL
1100254,RO,Presidente Médici,"1100254   ",NULL
1100262,RO,Rio Crespo,"1100262   ",NULL
1100288,RO,Rolim de Moura,"1100288   ",NULL
1100296,RO,Santa Luzia D'Oeste,"1100296   ",NULL
1100304,RO,Vilhena,"1100304   ",NULL
1100320,RO,São Miguel do Guaporé,"1100320   ",NULL
1100338,RO,Nova Mamoré,"1100338   ",NULL
1100346,RO,Alvorada D'Oeste,"1100346   ",NULL
1100379,RO,Alto Alegre dos Parecis,"1100379   ",NULL
1100403,RO,Alto Paraíso,"1100403   ",NULL
1100452,RO,Buritis,"1100452   ",NULL
1100502,RO,Novo Horizonte do Oeste,"1100502   ",NULL
1100601,RO,Cacaulândia,"1100601   ",NULL
1100700,RO,Campo Novo de Rondônia,"1100700   ",NULL
1100809,RO,Candeias do Jamari,"1100809   ",NULL
1100908,RO,Castanheiras,"1100908   ",NULL
1100924,RO,Chupinguaia,"1100924   ",NULL
1100940,RO,Cujubim,"1100940   ",NULL
1101005,RO,Governador Jorge Teixeira,"1101005   ",NULL
1101104,RO,Itapuã do Oeste,"1101104   ",NULL
1101203,RO,Ministro Andreazza,"1101203   ",NULL
1101302,RO,Mirante da Serra,"1101302   ",NULL
1101401,RO,Monte Negro,"1101401   ",NULL
1101435,RO,Nova União,"1101435   ",NULL
1101450,RO,Parecis,"1101450   ",NULL
1101468,RO,Pimenteiras do Oeste,"1101468   ",NULL
1101476,RO,Primavera de Rondônia,"1101476   ",NULL
1101484,RO,São Felipe D'Oeste,"1101484   ",NULL
1101492,RO,São Francisco do Guaporé,"1101492   ",NULL
1101500,RO,Seringueiras,"1101500   ",NULL
1101559,RO,Teixeirópolis,"1101559   ",NULL
1101609,RO,Theobroma,"1101609   ",NULL
1101708,RO,Urupá,"1101708   ",NULL
1101757,RO,Vale do Anari,"1101757   ",NULL
1101807,RO,Vale do Paraíso,"1101807   ",NULL
1200013,AC,Acrelândia,"1200013   ",NULL
1200054,AC,Assis Brasil,"1200054   ",NULL
1200104,AC,Brasiléia,"1200104   ",NULL
1200138,AC,Bujari,"1200138   ",NULL
1200179,AC,Capixaba,"1200179   ",NULL
1200203,AC,Cruzeiro do Sul,"1200203   ",NULL
1200252,AC,Epitaciolândia,"1200252   ",NULL
1200302,AC,Feijó,"1200302   ",NULL
